phasespace_timestamp,system_timestamp,id,marker_time,condition,position.x,position.y,position.z
2022.08.05 08:26.49.236,2022.08.05 10:26.49.236,0,801908,Great,0.40101,0.71732,0.33950
2022.08.05 08:26.49.236,2022.08.05 10:26.49.236,1,801908,Great,0.38916,0.70113,0.31886
2022.08.05 08:26.49.236,2022.08.05 10:26.49.236,2,801908,Great,0.38576,0.71010,0.29431
2022.08.05 08:26.49.236,2022.08.05 10:26.49.236,3,801908,Great,0.38050,0.73513,0.27584
2022.08.05 08:26.49.236,2022.08.05 10:26.49.236,4,801908,Great,0.40012,0.67256,0.33507
2022.08.05 08:26.49.236,2022.08.05 10:26.49.236,5,801908,Great,0.37583,0.66493,0.31726
2022.08.05 08:26.49.236,2022.08.05 10:26.49.236,6,801908,Great,0.36708,0.66821,0.29472
2022.08.05 08:26.49.236,2022.08.05 10:26.49.236,7,801908,Great,0.38179,0.69154,0.27137
2022.08.05 08:26.49.236,2022.08.05 10:26.49.236,8,801908,Great,0.36623,0.71019,0.38244
2022.08.05 08:26.49.236,2022.08.05 10:26.49.236,9,801908,Great,0.34993,0.72979,0.38251
2022.08.05 08:26.49.236,2022.08.05 10:26.49.236,10,801908,Great,0.32842,0.75238,0.37697
2022.08.05 08:26.49.236,2022.08.05 10:26.49.236,11,801908,Great,0.34632,0.78932,0.32630
2022.08.05 08:26.49.236,2022.08.05 10:26.49.236,12,801908,Great,0.37792,0.76203,0.34543
2022.08.05 08:26.49.236,2022.08.05 10:26.49.236,13,801908,Great,0.37741,0.76518,0.32645
2022.08.05 08:26.49.236,2022.08.05 10:26.49.236,14,801908,Great,0.37091,0.76900,0.30125
2022.08.05 08:26.49.236,2022.08.05 10:26.49.236,15,801908,Great,0.36123,0.76975,0.28115
2022.08.05 08:26.49.236,2022.08.05 10:26.49.237,0,801909,Great,0.40100,0.71729,0.33948
2022.08.05 08:26.49.236,2022.08.05 10:26.49.237,1,801909,Great,0.38916,0.70112,0.31886
2022.08.05 08:26.49.236,2022.08.05 10:26.49.237,2,801909,Great,0.38577,0.71012,0.29433
2022.08.05 08:26.49.236,2022.08.05 10:26.49.237,3,801909,Great,0.38049,0.73510,0.27583
2022.08.05 08:26.49.236,2022.08.05 10:26.49.237,4,801909,Great,0.40012,0.67258,0.33508
2022.08.05 08:26.49.236,2022.08.05 10:26.49.237,5,801909,Great,0.37582,0.66493,0.31728
2022.08.05 08:26.49.236,2022.08.05 10:26.49.237,6,801909,Great,0.36710,0.66822,0.29471
2022.08.05 08:26.49.236,2022.08.05 10:26.49.237,7,801909,Great,0.38177,0.69153,0.27136
2022.08.05 08:26.49.236,2022.08.05 10:26.49.237,8,801909,Great,0.36644,0.71021,0.38255
2022.08.05 08:26.49.236,2022.08.05 10:26.49.237,9,801909,Great,0.34992,0.72979,0.38250
2022.08.05 08:26.49.236,2022.08.05 10:26.49.237,10,801909,Great,0.32847,0.75244,0.37702
2022.08.05 08:26.49.236,2022.08.05 10:26.49.237,11,801909,Great,0.34634,0.78934,0.32634
2022.08.05 08:26.49.236,2022.08.05 10:26.49.237,12,801909,Great,0.37793,0.76201,0.34541
2022.08.05 08:26.49.236,2022.08.05 10:26.49.237,13,801909,Great,0.37740,0.76518,0.32646
2022.08.05 08:26.49.236,2022.08.05 10:26.49.237,14,801909,Great,0.37089,0.76898,0.30126
2022.08.05 08:26.49.236,2022.08.05 10:26.49.237,15,801909,Great,0.36121,0.76975,0.28116
2022.08.05 08:26.49.236,2022.08.05 10:26.49.237,0,801910,Great,0.40100,0.71728,0.33950
2022.08.05 08:26.49.236,2022.08.05 10:26.49.237,1,801910,Great,0.38914,0.70110,0.31885
2022.08.05 08:26.49.236,2022.08.05 10:26.49.237,2,801910,Great,0.38575,0.71009,0.29432
2022.08.05 08:26.49.236,2022.08.05 10:26.49.237,3,801910,Great,0.38051,0.73512,0.27584
2022.08.05 08:26.49.236,2022.08.05 10:26.49.237,4,801910,Great,0.40012,0.67256,0.33508
2022.08.05 08:26.49.236,2022.08.05 10:26.49.237,5,801910,Great,0.37582,0.66492,0.31727
2022.08.05 08:26.49.236,2022.08.05 10:26.49.237,6,801910,Great,0.36710,0.66824,0.29472
2022.08.05 08:26.49.236,2022.08.05 10:26.49.237,7,801910,Great,0.38177,0.69153,0.27138
2022.08.05 08:26.49.236,2022.08.05 10:26.49.237,8,801910,Great,0.36634,0.71019,0.38251
2022.08.05 08:26.49.236,2022.08.05 10:26.49.237,9,801910,Great,0.34991,0.72978,0.38253
2022.08.05 08:26.49.236,2022.08.05 10:26.49.237,10,801910,Great,0.32841,0.75238,0.37698
2022.08.05 08:26.49.236,2022.08.05 10:26.49.238,11,801910,Great,0.34635,0.78935,0.32635
2022.08.05 08:26.49.236,2022.08.05 10:26.49.238,12,801910,Great,0.37793,0.76202,0.34543
2022.08.05 08:26.49.236,2022.08.05 10:26.49.238,13,801910,Great,0.37740,0.76519,0.32646
2022.08.05 08:26.49.236,2022.08.05 10:26.49.238,14,801910,Great,0.37088,0.76899,0.30126
2022.08.05 08:26.49.236,2022.08.05 10:26.49.238,15,801910,Great,0.36122,0.76975,0.28115
2022.08.05 08:26.49.236,2022.08.05 10:26.49.238,0,801911,Great,0.40101,0.71729,0.33950
2022.08.05 08:26.49.236,2022.08.05 10:26.49.238,1,801911,Great,0.38913,0.70109,0.31885
2022.08.05 08:26.49.236,2022.08.05 10:26.49.238,2,801911,Great,0.38577,0.71010,0.29433
2022.08.05 08:26.49.236,2022.08.05 10:26.49.238,3,801911,Great,0.38050,0.73509,0.27583
2022.08.05 08:26.49.236,2022.08.05 10:26.49.238,4,801911,Great,0.40013,0.67255,0.33508
2022.08.05 08:26.49.236,2022.08.05 10:26.49.238,5,801911,Great,0.37582,0.66491,0.31727
2022.08.05 08:26.49.236,2022.08.05 10:26.49.238,6,801911,Great,0.36697,0.66813,0.29481
2022.08.05 08:26.49.236,2022.08.05 10:26.49.238,7,801911,Great,0.38177,0.69152,0.27139
2022.08.05 08:26.49.236,2022.08.05 10:26.49.238,8,801911,Great,0.36634,0.71019,0.38251
2022.08.05 08:26.49.236,2022.08.05 10:26.49.238,9,801911,Great,0.34991,0.72978,0.38252
2022.08.05 08:26.49.236,2022.08.05 10:26.49.238,10,801911,Great,0.32842,0.75240,0.37698
2022.08.05 08:26.49.236,2022.08.05 10:26.49.238,11,801911,Great,0.34635,0.78933,0.32633
2022.08.05 08:26.49.236,2022.08.05 10:26.49.238,12,801911,Great,0.37795,0.76199,0.34542
2022.08.05 08:26.49.236,2022.08.05 10:26.49.238,13,801911,Great,0.37740,0.76518,0.32648
2022.08.05 08:26.49.236,2022.08.05 10:26.49.238,14,801911,Great,0.37088,0.76898,0.30126
2022.08.05 08:26.49.236,2022.08.05 10:26.49.238,15,801911,Great,0.36123,0.76973,0.28116
2022.08.05 08:26.49.244,2022.08.05 10:26.49.244,0,801912,Great,0.40100,0.71731,0.33951
2022.08.05 08:26.49.244,2022.08.05 10:26.49.244,1,801912,Great,0.38914,0.70109,0.31885
2022.08.05 08:26.49.244,2022.08.05 10:26.49.244,2,801912,Great,0.38576,0.71012,0.29435
2022.08.05 08:26.49.244,2022.08.05 10:26.49.244,3,801912,Great,0.38049,0.73507,0.27584
2022.08.05 08:26.49.244,2022.08.05 10:26.49.244,4,801912,Great,0.40013,0.67254,0.33509
2022.08.05 08:26.49.244,2022.08.05 10:26.49.244,5,801912,Great,0.37583,0.66490,0.31727
2022.08.05 08:26.49.244,2022.08.05 10:26.49.244,6,801912,Great,0.36697,0.66813,0.29481
2022.08.05 08:26.49.244,2022.08.05 10:26.49.244,7,801912,Great,0.38175,0.69151,0.27140
2022.08.05 08:26.49.244,2022.08.05 10:26.49.244,8,801912,Great,0.36634,0.71022,0.38252
2022.08.05 08:26.49.244,2022.08.05 10:26.49.244,9,801912,Great,0.34991,0.72979,0.38253
2022.08.05 08:26.49.244,2022.08.05 10:26.49.244,10,801912,Great,0.32841,0.75238,0.37698
2022.08.05 08:26.49.244,2022.08.05 10:26.49.244,11,801912,Great,0.34635,0.78934,0.32633
2022.08.05 08:26.49.244,2022.08.05 10:26.49.244,12,801912,Great,0.37795,0.76198,0.34543
2022.08.05 08:26.49.244,2022.08.05 10:26.49.244,13,801912,Great,0.37741,0.76517,0.32649
2022.08.05 08:26.49.244,2022.08.05 10:26.49.245,14,801912,Great,0.37089,0.76897,0.30127
2022.08.05 08:26.49.244,2022.08.05 10:26.49.245,15,801912,Great,0.36123,0.76973,0.28118
2022.08.05 08:26.49.244,2022.08.05 10:26.49.245,0,801913,Great,0.40098,0.71728,0.33949
